metric_level,prediction_method,building_name_recent,n_days,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum,report_month
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,제2인문관,84.0,21938.0,23534.85,46.01187275985663,57.66581514414862,0.20009656534457396,19.01011904761905,0.07278922417722666,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,제3과학관,84.0,76130.0,78716.66666666666,152.65181771633385,193.85739154693536,0.1815037482570815,30.793650793650777,0.033976969219317706,
building_total_2026-04-01_to_2026-06-23,baseline_uniform_daily_kwh,화공관,84.0,211676.0,191800.0,340.5852534562212,391.86313763607933,0.1315399165071518,-236.61904761904765,-0.09389822181069181,
building_month,baseline_uniform_daily_kwh,건축관,30.0,26928.0,24703.500000000007,206.94000000000003,251.99377472469436,0.22943104456022428,-74.14999999999995,-0.08260918003565035,2026-04
building_month,baseline_uniform_daily_kwh,건축관,31.0,30871.0,25632.000000000007,240.44432882414148,295.27806433217216,0.22472000403289535,-168.99999999999994,-0.16970619675423512,2026-05
building_month,baseline_uniform_daily_kwh,건축관,23.0,29172.0,27882.516666666663,231.15579710144922,293.57448106051675,0.19372459396365285,-56.06449275362322,-0.04420277434983331,2026-06
building_month,baseline_uniform_daily_kwh,기계관,30.0,55781.0,60936.5,271.15777777777777,387.20544252660267,0.18340418057912736,171.8500000000001,0.09242394363672218,2026-04
building_month,baseline_uniform_daily_kwh,기계관,31.0,53131.0,53488.000000000015,442.99167533818934,482.82675607175304,0.294397811363523,11.516129032258139,0.006719241121003078,2026-05
building_month,baseline_uniform_daily_kwh,기계관,23.0,53929.0,53751.76666666666,475.82463768115946,583.2360309323985,0.2250774041595898,-7.705797101449305,-0.0032864197988714274,2026-06
building_month,baseline_uniform_daily_kwh,박물관,30.0,16863.0,17925.0,76.5,102.11325411848682,0.15983185895413882,35.4,0.06297811777263831,2026-04
building_month,baseline_uniform_daily_kwh,박물관,31.0,17462.0,18005.500000000004,107.97346514047867,130.1888416697736,0.21471905062117183,17.532258064516178,0.031124727980758427,2026-05
building_month,baseline_uniform_daily_kwh,박물관,23.0,16204.0,23042.16666666666,297.3115942028985,316.26227229820995,0.46072769515808903,297.3115942028985,0.4220048547683696,2026-06
building_month,baseline_uniform_daily_kwh,사범대학,30.0,28876.0,29499.999999999993,127.84444444444445,158.50622139910544,0.15036683220373173,20.800000000000036,0.021609641224546085,2026-04
building_month,baseline_uniform_daily_kwh,사범대학,31.0,26506.0,24500.00000000001,179.86264308012488,199.83239595327018,0.2096902807074526,-64.70967741935478,-0.07568097789179767,2026-05
building_month,baseline_uniform_daily_kwh,사범대학,23.0,23420.0,22233.33333333334,200.63768115942034,220.0084539438503,0.2104286041892878,-51.5942028985508,-0.05066894392257304,2026-06
building_month,baseline_uniform_daily_kwh,상경관,30.0,56226.0,60000.0,253.53333333333333,370.31950169189486,0.17612199719947702,125.8,0.06712197204140433,2026-04
building_month,baseline_uniform_daily_kwh,상경관,31.0,59362.0,61499.99999999997,525.5442247658689,620.7571792144703,0.3257179925893518,68.96774193548379,0.03601630672820948,2026-05
building_month,baseline_uniform_daily_kwh,상경관,23.0,56276.0,59800.0,642.3478260869565,758.5467799623859,0.34199382354439645,153.2173913043478,0.06261994455895942,2026-06
building_month,baseline_uniform_daily_kwh,생활과학대,30.0,36365.0,29717.499999999993,228.66111111111113,286.2475254623755,0.17249828703902345,-221.5833333333334,-0.18279939502268686,2026-04
building_month,baseline_uniform_daily_kwh,생활과학대,31.0,30789.0,26501.0,213.3194588969823,251.17081095285303,0.20110154098798602,-138.32258064516125,-0.13927051869174056,2026-05
building_month,baseline_uniform_daily_kwh,생활과학대,23.0,28909.0,28469.783333333326,229.28478260869565,269.75087323512247,0.1973276921350204,-19.096376811594265,-0.015193077127077188,2026-06
